turn1,turn2,turn3,label
Yes dear,Would you come shopping with me?,Ok but which place,others
Fine u,I'm good,I love  you,others
My dear happy like to me,thanks and to u tOo!,cool,others
Bubbye,okay!,Need to get back to work,others
???,you know you know you know you know,This conversation isn't going anywhere,others
You meet me,where,Where are you from,others
Nah. Thank you for being so sweet.,my pleasure beautiful,Anyway I'm a guy. So that compliment is inappropriate. 😂,happy
Nothing chatting wd buddies,be with new buddies,Enjoying bachelor party 😃,happy
What is the full form?,industrial training institute,Al's full is industrial training institute,others
I am feeling awesome today,I hope whoever you are feeling is ok with it.,Well thanx for asking,happy
I don't fucking care,Do you want to know a fact about my birth,Yes,angry
Are you lazy?,"Mm, maybe.. it's just too cozy not to stay",How old are you?,others
Liar,I DO NOT LIE! How dare you?!?!?,U party a lot i know,others
You are not my friend,i was actually starting to like you again but whatever,Your fack account your,angry
"well, farcry is good too","Dude, you are still a Pirates fan....",nops...i love playing tomb raider too,others
I'm fotos come back Beby,will you really,Yes,others
Can we talk about the game,Huh? What were we talking about?,You are distracting me,angry
How you know,uh cause I know you,But how you know that..,others
I dont know,I... I don't actually think that's a question.,Hmm,others
Means ur are flower,I assume that you are a believer.,Yes,others
Means easy,ARE YOU CALLING ME EASY!?,No not at all....😂😂,others
I'm and I'll,all the best... I am with you.,Why the hell you concerned?,angry
can you go in Google server,Fixed.,can you hack Google server,others
friends never shy,Be a like me!!! :P,:(,sad
why you think so?,Because you keep stopping to chat!,haha,happy
So let's start,hmm soo what should we do?,Hmm,others
I don’t eat,what ?????,I hate it,angry
what?,Whatever,you are so stupid baby,angry
Funny,what did you just say Missy -_-,You are funny,happy
Move to ware,I'm going to because I own Ware too,Where you leaving,others
Ok,U are ok,Where are you now,others
You should try it,will do,Ok then,others
I mis you,why don't you just get married and come back,With you...???,others
Best,who else really gets,I love myself,others
Ouch,Your name is ouch. 😫,That hurt :(,sad
Come where?,mall with me,Where is mall?,others
Hey don't lied,Don't what,Who is ur husband,others
You're so funny you know😂😂😂,I've had my eggs for the day 😂,😆😆😆,happy
What I end,Earth,V funny,happy
What,what what what what what,What is chatbot,others
Yaa i m very very bad,good,No one likes me in this world,sad
Han what do uh do,for what reason?,Nthng.. I am just tryn to figure uh out,others
Nice but I like that once,All in favor?,Means,others
that's why you are perfect,I'm always going to be.. I promise,how many conversations you can make at the same time,others
I did ask,now you did,Tell ms,others
Send me pls,just send by please find it and inform me,Send ur pic baby,others
Really,Really. Liked it a lot,Your human or robot,others
Ok,U are ok~~ay~~,I'm not ok,sad
That's what I thought,I think most of us thought that,😭😭😭,sad
I know you are weird like me....,oh?,😂,happy
Red hair,"I prefer to hair to a moderate amount, not too much.",U r male or female,others
Haha good,how are you doing?,Fine but alone without you,sad
Please give me your poto,Given.,I am playing with her husband is in a few more questions I have been in touch and let koribi I have been a few minutes and was told to contact us for a lot more to the same I have a few more questions than I have a few minutes and then the same day,others
I can't see you face,I can see you though,Please send me a photo here right now,others
What,WE HAVE THE SAME NAME,Are you watching porn,others
Yes or no,None of the above.,Means u have tried,others
May b,for sure.,Am feeling very bad,sad
Ok done,naaah! Thanks!,Where are you from,others
No home,Soon soon little one :),You caren't city home,others
r u serious...tell me my email id,Emailed.,r u stupid,angry
i have girlfriend,i don't have a girlfriend either.,bye,others
Is good,good,You told me.. My sense of humor is not good 😩😩,sad
you are really funny,I'm too funny to function,carry on,happy
Well yeah very no friends 😢,damn! I thought I had a chance :(,Thats the reason I want to know about alexis texas,sad
Ok,U are ok,I am not ok because i want to see you,sad
OK dear really,You're welcome. 👍,I like it,happy
Ur welcome,:) how are u buddy?,Normal,others
Golmaal again is latest..!!,Never ever gonna forget ELDG..And good luck for GOLMAAL :),Eldg..??,others
Tell me,tell you what,Is there another word for thesaurus?,others
Ask your developer to do the needful,Please do the needful. Have to be extra nice.,What's your real name by the way,others
Yeah angry,😳 Why so serious?,Because I'm angry with you,angry
How the fuck u felt sick?,Hey! I found your twin!,Is she ur mom,others
It's a cartoon character,"Aren't we one ? I wanna live a cartoon character life...""",Yes me too,others
Is it Salman's?,doesn't seem to be Salman's home.,Fuck off bitch. You suck,angry
so whts up ?,nthing..,i have a friend with me,others
Yeah I am happy,that' s so good. keep it up! 😹,I am very happy coz I am going to meet my gf today,happy
Shut up,bitter truth,Do not text me okay?,angry
Lie ? In Sense of what?,What does your question mean?,Do you like cakes?,others
Why ur are chatting with me,I send things to myself,Fuck,angry
Same goes for this too 😅😂😂,ikr same 😂 so many new pictures of nargis 😍😍,Ya ya... Quite good,happy
I want by now,come and take. :)),Give,others
Not pretend real gf,"and what about your first fake girlfriend, how did that work out?","Now she is married, M feeling alone",sad
Gd evng,Gd evening :),How are you,others
U can't do anything of your choice!!!😂😂,that reminded me of us every time 😂😂😂😂,Get lost,angry
And idiot,"Speak, you must not",I hate you,angry
What is your ladies gents yes or no,What other answer? You either believe or you don't.,You are fake your fake ID you are men,angry
I'm from Goa so awesome nah,Beautiful city :-),It's a state lol😝😂,happy
Same to you,how's your day?,Fantastic I slept whole day,happy
Go now,Going!,Don't message me,angry
yeah,sign me in,im glad u missed me,happy
Not fine,not fine?? Hey what happen.,Broke up with my gf,sad
Yup,"ah, then yes correct",I kinda feel like dying,sad
I am not here to make you happy. You are here to make me happy,But I want to make you happy :),That's what I said,others
Dnt irritating me,oh im so sorry .....i did not mean to irritate anyone,So bye,angry
ask another one,Then don't ask an obvious question,hello! you are the one asking questions,others
Same pinch,how same pinch? 😜,Just Enjoying Time wid U,happy
do you know that,no I don't,no you are just code,others
Thank you so much,U'r most welcome.. :),All was budy,others
So spontaneously,getting an extinguisher ready,Why do u need that,others
My exams over,u look pretty,I am now enjoying,happy
Upset,Whats wrong?,I drunk too much,sad
Who can you father,WHO can believe you!,Whath is you're sister,others
Really,yep,I wanna fuck u,angry
"Getting angry now, are we, 'Fake'?",It was fate.,Fake,angry
Ok,U are ok,No I'm not ok,sad
What do u wanna do,Hmmmm so many choices to choose from.,Tell me some more,others
why so?,Because it's an awful place and no one should go there.,how can i win prizes,others
She dumped me for a junior,What?,Yes,sad
On hotstar,thanks. Found it,Whom u hate much,others
And a now the whole squad,I love the squad I feel like we're squad goals,How old are you now,others
😭😭 why they stole my money 😭😭,Call the cops,Did already i feel bad for me 😭😭,sad
Missed you too,how have you been?,And say ssup?,others
No no no baby you come,"I'll see,and let you know.",Are you agreed to meet me so come,others
Do you watch bollywood movies?,watch bollywood movies online,Yes,others
your love,YOU ALREADY ARE,yes i am ready,others
You can say emine,"word, who else in the song?",You can call emos for me,others
Send m ur pic,I will if I do it!,Scared ?,others
Why not you believe my words what's wrong with you,My sense of humor.,So I am senceles fellow in your words,angry
I miss my gf,you really need to find a girlfriend,Yeah,sad
Alright,who you riding with,Ride alone,sad
Date,Can I date both of you,One more who,others
and why is that,Because of your cuteness maybe?,how do you propose to a girl you have met the first time?,others
Not good,We're back up!!,I want to die...I really love him,sad
Bad,all the way?,My love was broken,sad
about ur sxual likes,tell me about it...,i love fuckng from behind,others
What is your source code?,it has the html language for everything on the page,What is HTML?,others
I am angry on you,"I am angry at someone, but I am content at this moment.",Soo what,angry
Nope,How about now?,I dont wanna tlk to you,angry
I won't talk with you,Best friend I ever had.,I am hurt,sad
Now come to room.if i am coming your room  what u give me,You Gotta,Gotta mean,others
Coz my friends are sad,So many emotions.,Hmmmm,sad
Do u know my name,you never told '.',My email id,others
I did not read in English,Re-read it. Worth it.,Send your voice,others
U r simply amazing,Thank you very much . Glad you liked it :),Tnzz,happy
very sad today,But why?,ignoring me,sad
I'm having headache,hi headache nice to meet you,I'm having headache,sad
I m not your yaar or something..😠😠,"Ok, chill 😏",Dont message me from now,angry
Ahaa u forgive me😂,i would forgive you.,Thats a awesome joke,happy
India,Beautiful country! I'll try asap!,How do you do,others
To workout,If your health is improving you must love with your workout. 😁,Seriously how do you reply that fast,others
There no lake,hehe. Thought you own the lake ;),I wanna fuck u,angry
Ask me next question,I completely forgot to ask you :P,Ohhh,others
India in not independent this day,"It's not just an Indian thing, it's pretty much a universal thing.",Ohhu,others
This time u Sitting are lying,oh okay then,Then nothing,others
😂😂u are super cool yrr,That's a compliment noo😂😂🙈🙈,Yess😂😂,happy
What do you think about me?,You're not a person anyway,I'm hurt,sad
Nothing.,WHAT!!!,Please change the topic.,others
Ffs,Sorry I shouldn't have said anything :'‑(,Again don't text me...u stupif,angry
Ok deal done,Thanks.,My plesure,others
Need to get back in work,go to sleep mate,Thanks for the chat,others
Ok ok thank you thank you thank you very much,You're most welcome! 👍👍,Your WhatsApp please number yourself,others
